Compound,Date,Source account,Tweets Ago,neg,neu,pos
0.0,Sat Jun 23 20:12:00 +0000 2018,BBC,1,0.0,1.0,0.0
0.0,Sat Jun 23 19:02:02 +0000 2018,BBC,2,0.0,1.0,0.0
0.5719,Sat Jun 23 17:06:01 +0000 2018,BBC,3,0.0,0.821,0.179
0.7412,Sat Jun 23 16:02:02 +0000 2018,BBC,4,0.0,0.614,0.386
0.4019,Sat Jun 23 15:00:27 +0000 2018,BBC,5,0.0,0.847,0.153
0.0,Sat Jun 23 14:02:01 +0000 2018,BBC,6,0.0,1.0,0.0
0.0,Sat Jun 23 12:57:05 +0000 2018,BBC,7,0.0,1.0,0.0
0.0,Sat Jun 23 12:00:16 +0000 2018,BBC,8,0.0,1.0,0.0
0.0,Sat Jun 23 11:01:06 +0000 2018,BBC,9,0.0,1.0,0.0
0.0,Sat Jun 23 10:02:04 +0000 2018,BBC,10,0.143,0.675,0.183
0.0,Sat Jun 23 09:01:05 +0000 2018,BBC,11,0.0,1.0,0.0
0.2732,Sat Jun 23 07:59:02 +0000 2018,BBC,12,0.0,0.86,0.14
0.0,Sat Jun 23 07:22:00 +0000 2018,BBC,13,0.0,1.0,0.0
0.6369,Fri Jun 22 19:11:28 +0000 2018,BBC,14,0.0,0.741,0.259
0.25,Fri Jun 22 19:11:15 +0000 2018,BBC,15,0.0,0.913,0.087
0.0,Fri Jun 22 19:10:41 +0000 2018,BBC,16,0.0,1.0,0.0
0.7518,Fri Jun 22 19:10:14 +0000 2018,BBC,17,0.0,0.735,0.265
0.3612,Fri Jun 22 19:09:53 +0000 2018,BBC,18,0.0,0.902,0.098
0.4215,Fri Jun 22 19:04:06 +0000 2018,BBC,19,0.0,0.865,0.135
-0.3182,Fri Jun 22 18:01:05 +0000 2018,BBC,20,0.15,0.85,0.0
0.0,Fri Jun 22 17:00:21 +0000 2018,BBC,21,0.0,1.0,0.0
0.0,Fri Jun 22 16:01:00 +0000 2018,BBC,22,0.0,1.0,0.0
0.0,Fri Jun 22 13:02:03 +0000 2018,BBC,23,0.0,1.0,0.0
0.0,Fri Jun 22 12:03:05 +0000 2018,BBC,24,0.0,1.0,0.0
-0.34,Fri Jun 22 11:00:13 +0000 2018,BBC,25,0.156,0.844,0.0
0.0,Fri Jun 22 08:01:04 +0000 2018,BBC,26,0.0,1.0,0.0
0.6632,Fri Jun 22 07:28:05 +0000 2018,BBC,27,0.119,0.559,0.322
0.0,Fri Jun 22 07:00:04 +0000 2018,BBC,28,0.0,1.0,0.0
0.2732,Thu Jun 21 19:03:04 +0000 2018,BBC,29,0.2,0.595,0.205
0.0,Thu Jun 21 18:01:06 +0000 2018,BBC,30,0.0,1.0,0.0
0.3134,Thu Jun 21 16:42:25 +0000 2018,BBC,31,0.062,0.811,0.127
0.5093,Thu Jun 21 16:01:04 +0000 2018,BBC,32,0.0,0.732,0.268
0.8074,Thu Jun 21 16:00:09 +0000 2018,BBC,33,0.0,0.687,0.313
-0.7506,Thu Jun 21 13:02:34 +0000 2018,BBC,34,0.314,0.686,0.0
0.0,Thu Jun 21 12:28:30 +0000 2018,BBC,35,0.0,1.0,0.0
0.0,Thu Jun 21 12:25:47 +0000 2018,BBC,36,0.0,1.0,0.0
0.7845,Thu Jun 21 12:01:06 +0000 2018,BBC,37,0.0,0.699,0.301
0.0,Thu Jun 21 11:01:04 +0000 2018,BBC,38,0.0,1.0,0.0
0.0,Thu Jun 21 09:55:19 +0000 2018,BBC,39,0.0,1.0,0.0
0.5719,Thu Jun 21 09:13:56 +0000 2018,BBC,40,0.0,0.791,0.209
-0.8979,Thu Jun 21 08:01:01 +0000 2018,BBC,41,0.442,0.558,0.0
0.6114,Thu Jun 21 07:45:57 +0000 2018,BBC,42,0.0,0.846,0.154
-0.5106,Thu Jun 21 07:27:03 +0000 2018,BBC,43,0.218,0.69,0.092
0.6369,Thu Jun 21 07:01:04 +0000 2018,BBC,44,0.0,0.656,0.344
0.5994,Wed Jun 20 20:02:08 +0000 2018,BBC,45,0.0,0.754,0.246
-0.4019,Wed Jun 20 18:00:25 +0000 2018,BBC,46,0.252,0.748,0.0
0.4939,Wed Jun 20 17:32:05 +0000 2018,BBC,47,0.136,0.593,0.271
0.0,Wed Jun 20 16:00:26 +0000 2018,BBC,48,0.0,1.0,0.0
0.3182,Wed Jun 20 14:35:32 +0000 2018,BBC,49,0.0,0.905,0.095
0.0,Wed Jun 20 13:05:22 +0000 2018,BBC,50,0.0,1.0,0.0
0.5562,Wed Jun 20 13:02:04 +0000 2018,BBC,51,0.0,0.848,0.152
0.7579,Wed Jun 20 12:00:21 +0000 2018,BBC,52,0.0,0.764,0.236
0.3626,Wed Jun 20 11:03:05 +0000 2018,BBC,53,0.0,0.871,0.129
0.7207,Wed Jun 20 10:31:58 +0000 2018,BBC,54,0.0,0.759,0.241
0.4767,Wed Jun 20 10:20:48 +0000 2018,BBC,55,0.0,0.86,0.14
0.0,Wed Jun 20 10:03:05 +0000 2018,BBC,56,0.0,1.0,0.0
0.7154,Wed Jun 20 09:47:39 +0000 2018,BBC,57,0.0,0.715,0.285
0.6369,Wed Jun 20 08:00:23 +0000 2018,BBC,58,0.0,0.682,0.318
0.4404,Wed Jun 20 07:25:01 +0000 2018,BBC,59,0.0,0.873,0.127
0.0,Wed Jun 20 07:00:15 +0000 2018,BBC,60,0.0,1.0,0.0
0.128,Tue Jun 19 19:03:08 +0000 2018,BBC,61,0.165,0.613,0.222
0.7351,Tue Jun 19 18:01:10 +0000 2018,BBC,62,0.0,0.772,0.228
0.0,Tue Jun 19 18:00:21 +0000 2018,BBC,63,0.0,1.0,0.0
0.4215,Tue Jun 19 16:00:28 +0000 2018,BBC,64,0.0,0.859,0.141
0.1511,Tue Jun 19 15:20:59 +0000 2018,BBC,65,0.0,0.933,0.067
0.0,Tue Jun 19 15:02:04 +0000 2018,BBC,66,0.0,1.0,0.0
-0.7579,Tue Jun 19 14:59:48 +0000 2018,BBC,67,0.265,0.735,0.0
-0.5574,Tue Jun 19 13:38:02 +0000 2018,BBC,68,0.159,0.841,0.0
-0.0772,Tue Jun 19 12:59:03 +0000 2018,BBC,69,0.124,0.766,0.11
-0.3736,Tue Jun 19 12:02:05 +0000 2018,BBC,70,0.131,0.869,0.0
0.5994,Tue Jun 19 11:00:20 +0000 2018,BBC,71,0.141,0.55,0.309
-0.34,Tue Jun 19 10:26:08 +0000 2018,BBC,72,0.146,0.854,0.0
0.6114,Tue Jun 19 09:55:13 +0000 2018,BBC,73,0.0,0.862,0.138
0.0516,Tue Jun 19 09:53:59 +0000 2018,BBC,74,0.14,0.682,0.179
0.7717,Tue Jun 19 09:47:43 +0000 2018,BBC,75,0.0,0.835,0.165
0.0,Tue Jun 19 08:00:15 +0000 2018,BBC,76,0.0,1.0,0.0
-0.3182,Tue Jun 19 07:27:05 +0000 2018,BBC,77,0.126,0.874,0.0
-0.3716,Tue Jun 19 07:00:16 +0000 2018,BBC,78,0.233,0.631,0.136
-0.5267,Mon Jun 18 20:58:38 +0000 2018,BBC,79,0.175,0.825,0.0
0.7845,Mon Jun 18 20:02:04 +0000 2018,BBC,80,0.054,0.661,0.284
0.5423,Mon Jun 18 18:02:04 +0000 2018,BBC,81,0.0,0.69,0.31
0.0,Mon Jun 18 16:16:09 +0000 2018,BBC,82,0.0,1.0,0.0
-0.2263,Mon Jun 18 16:02:03 +0000 2018,BBC,83,0.147,0.853,0.0
0.6705,Mon Jun 18 15:35:49 +0000 2018,BBC,84,0.0,0.766,0.234
0.5267,Mon Jun 18 15:32:42 +0000 2018,BBC,85,0.111,0.687,0.202
0.7096,Mon Jun 18 15:32:33 +0000 2018,BBC,86,0.0,0.781,0.219
0.5709,Mon Jun 18 15:28:37 +0000 2018,BBC,87,0.0,0.793,0.207
0.7717,Mon Jun 18 14:52:52 +0000 2018,BBC,88,0.058,0.708,0.234
0.0,Mon Jun 18 13:03:06 +0000 2018,BBC,89,0.0,1.0,0.0
0.4939,Mon Jun 18 12:03:05 +0000 2018,BBC,90,0.0,0.652,0.348
0.3595,Mon Jun 18 11:35:41 +0000 2018,BBC,91,0.132,0.66,0.208
0.4019,Mon Jun 18 11:27:11 +0000 2018,BBC,92,0.0,0.886,0.114
0.4939,Mon Jun 18 11:03:06 +0000 2018,BBC,93,0.0,0.868,0.132
-0.4215,Mon Jun 18 10:49:28 +0000 2018,BBC,94,0.113,0.887,0.0
0.0,Mon Jun 18 10:46:18 +0000 2018,BBC,95,0.0,1.0,0.0
0.0,Mon Jun 18 09:47:14 +0000 2018,BBC,96,0.0,1.0,0.0
0.0,Mon Jun 18 08:43:27 +0000 2018,BBC,97,0.0,1.0,0.0
-0.4767,Mon Jun 18 08:01:04 +0000 2018,BBC,98,0.237,0.763,0.0
0.5719,Mon Jun 18 07:26:04 +0000 2018,BBC,99,0.0,0.821,0.179
0.0,Mon Jun 18 07:02:02 +0000 2018,BBC,100,0.0,1.0,0.0
0.1867,Fri Jun 22 21:19:06 +0000 2018,CBS,1,0.0,0.902,0.098
0.4199,Fri Jun 22 18:33:53 +0000 2018,CBS,2,0.0,0.811,0.189
0.4926,Thu Jun 21 23:29:50 +0000 2018,CBS,3,0.0,0.803,0.197
0.3555,Wed Jun 20 00:39:01 +0000 2018,CBS,4,0.122,0.68,0.199
0.0,Mon Jun 18 20:27:50 +0000 2018,CBS,5,0.0,1.0,0.0
0.0,Mon Jun 18 15:00:46 +0000 2018,CBS,6,0.0,1.0,0.0
0.9392,Sun Jun 17 13:00:01 +0000 2018,CBS,7,0.0,0.507,0.493
0.3595,Fri Jun 15 18:48:29 +0000 2018,CBS,8,0.0,0.872,0.128
-0.296,Thu Jun 14 17:30:00 +0000 2018,CBS,9,0.167,0.833,0.0
0.1779,Thu Jun 14 16:19:32 +0000 2018,CBS,10,0.12,0.734,0.147
-0.5562,Tue Jun 12 00:19:23 +0000 2018,CBS,11,0.315,0.551,0.134
0.5093,Mon Jun 11 22:23:06 +0000 2018,CBS,12,0.0,0.829,0.171
-0.296,Mon Jun 11 19:01:38 +0000 2018,CBS,13,0.167,0.833,0.0
0.0,Mon Jun 11 14:00:37 +0000 2018,CBS,14,0.0,1.0,0.0
0.0,Mon Jun 11 06:19:36 +0000 2018,CBS,15,0.0,1.0,0.0
0.4767,Mon Jun 11 06:04:41 +0000 2018,CBS,16,0.0,0.78,0.22
0.8478,Mon Jun 11 03:10:33 +0000 2018,CBS,17,0.0,0.594,0.406
0.92,Mon Jun 11 03:02:06 +0000 2018,CBS,18,0.0,0.537,0.463
0.4404,Mon Jun 11 02:58:30 +0000 2018,CBS,19,0.088,0.737,0.175
0.4404,Mon Jun 11 02:56:40 +0000 2018,CBS,20,0.0,0.847,0.153
0.836,Mon Jun 11 02:56:10 +0000 2018,CBS,21,0.0,0.533,0.467
0.0,Mon Jun 11 02:53:00 +0000 2018,CBS,22,0.0,1.0,0.0
0.6369,Mon Jun 11 02:47:29 +0000 2018,CBS,23,0.0,0.682,0.318
0.7978,Mon Jun 11 02:44:50 +0000 2018,CBS,24,0.0,0.457,0.543
0.9523,Mon Jun 11 02:44:37 +0000 2018,CBS,25,0.0,0.484,0.516
0.5994,Mon Jun 11 02:33:09 +0000 2018,CBS,26,0.0,0.698,0.302
0.4215,Mon Jun 11 02:29:18 +0000 2018,CBS,27,0.0,0.877,0.123
0.8932,Mon Jun 11 02:23:56 +0000 2018,CBS,28,0.0,0.483,0.517
0.0,Mon Jun 11 02:21:03 +0000 2018,CBS,29,0.0,1.0,0.0
0.0,Mon Jun 11 02:16:06 +0000 2018,CBS,30,0.0,1.0,0.0
0.8908,Mon Jun 11 02:11:03 +0000 2018,CBS,31,0.0,0.509,0.491
0.0,Mon Jun 11 02:05:47 +0000 2018,CBS,32,0.0,1.0,0.0
0.4926,Mon Jun 11 02:03:31 +0000 2018,CBS,33,0.0,0.738,0.262
0.5093,Mon Jun 11 01:58:48 +0000 2018,CBS,34,0.0,0.477,0.523
0.7579,Mon Jun 11 01:53:17 +0000 2018,CBS,35,0.0,0.519,0.481
0.6467,Mon Jun 11 01:51:16 +0000 2018,CBS,36,0.0,0.752,0.248
0.0,Mon Jun 11 01:38:23 +0000 2018,CBS,37,0.0,1.0,0.0
0.636,Mon Jun 11 01:37:36 +0000 2018,CBS,38,0.0,0.724,0.276
0.8834,Mon Jun 11 01:30:56 +0000 2018,CBS,39,0.0,0.437,0.563
0.0,Mon Jun 11 01:29:21 +0000 2018,CBS,40,0.0,1.0,0.0
0.7351,Mon Jun 11 01:26:03 +0000 2018,CBS,41,0.079,0.625,0.296
0.0,Mon Jun 11 01:25:59 +0000 2018,CBS,42,0.0,1.0,0.0
0.0,Mon Jun 11 01:24:46 +0000 2018,CBS,43,0.0,1.0,0.0
0.4019,Mon Jun 11 01:24:12 +0000 2018,CBS,44,0.0,0.838,0.162
0.9151,Mon Jun 11 01:19:59 +0000 2018,CBS,45,0.0,0.543,0.457
0.6369,Mon Jun 11 01:12:31 +0000 2018,CBS,46,0.0,0.625,0.375
0.1511,Mon Jun 11 01:08:28 +0000 2018,CBS,47,0.0,0.898,0.102
0.1531,Mon Jun 11 01:08:24 +0000 2018,CBS,48,0.0,0.852,0.148
0.8834,Mon Jun 11 01:02:47 +0000 2018,CBS,49,0.0,0.437,0.563
0.0,Mon Jun 11 00:58:06 +0000 2018,CBS,50,0.0,1.0,0.0
0.2714,Mon Jun 11 00:52:34 +0000 2018,CBS,51,0.0,0.793,0.207
0.0,Mon Jun 11 00:51:11 +0000 2018,CBS,52,0.0,1.0,0.0
0.8883,Mon Jun 11 00:50:18 +0000 2018,CBS,53,0.0,0.433,0.567
0.9134,Mon Jun 11 00:45:14 +0000 2018,CBS,54,0.0,0.387,0.613
0.0,Mon Jun 11 00:44:36 +0000 2018,CBS,55,0.0,1.0,0.0
0.25,Mon Jun 11 00:35:41 +0000 2018,CBS,56,0.0,0.92,0.08
0.4588,Mon Jun 11 00:34:45 +0000 2018,CBS,57,0.0,0.85,0.15
0.0,Mon Jun 11 00:31:28 +0000 2018,CBS,58,0.0,1.0,0.0
0.3612,Mon Jun 11 00:27:42 +0000 2018,CBS,59,0.0,0.737,0.263
0.8908,Mon Jun 11 00:27:00 +0000 2018,CBS,60,0.0,0.43,0.57
0.0,Mon Jun 11 00:24:31 +0000 2018,CBS,61,0.0,1.0,0.0
0.0,Mon Jun 11 00:22:15 +0000 2018,CBS,62,0.0,1.0,0.0
0.6369,Mon Jun 11 00:22:15 +0000 2018,CBS,63,0.0,0.588,0.412
0.0,Mon Jun 11 00:18:16 +0000 2018,CBS,64,0.0,1.0,0.0
0.6369,Mon Jun 11 00:13:27 +0000 2018,CBS,65,0.0,0.756,0.244
0.8834,Mon Jun 11 00:12:31 +0000 2018,CBS,66,0.0,0.437,0.563
0.6696,Mon Jun 11 00:06:39 +0000 2018,CBS,67,0.0,0.64,0.36
0.3182,Mon Jun 11 00:04:15 +0000 2018,CBS,68,0.0,0.85,0.15
0.0,Sun Jun 10 23:59:00 +0000 2018,CBS,69,0.0,1.0,0.0
0.4374,Sun Jun 10 23:18:15 +0000 2018,CBS,70,0.0,0.855,0.145
0.0,Sun Jun 10 22:01:25 +0000 2018,CBS,71,0.0,1.0,0.0
0.4184,Sun Jun 10 15:00:01 +0000 2018,CBS,72,0.0,0.843,0.157
0.68,Sat Jun 09 21:00:02 +0000 2018,CBS,73,0.0,0.763,0.237
0.0,Sat Jun 09 16:00:00 +0000 2018,CBS,74,0.0,1.0,0.0
0.296,Fri Jun 08 19:46:17 +0000 2018,CBS,75,0.0,0.82,0.18
0.0,Fri Jun 08 15:00:03 +0000 2018,CBS,76,0.0,1.0,0.0
0.9078,Fri Jun 08 13:58:15 +0000 2018,CBS,77,0.0,0.564,0.436
0.3612,Thu Jun 07 17:03:26 +0000 2018,CBS,78,0.0,0.872,0.128
0.2732,Wed Jun 06 21:00:24 +0000 2018,CBS,79,0.105,0.719,0.176
0.3595,Wed Jun 06 00:08:30 +0000 2018,CBS,80,0.0,0.872,0.128
-0.4404,Tue Jun 05 22:23:35 +0000 2018,CBS,81,0.177,0.723,0.1
0.4574,Tue Jun 05 22:12:28 +0000 2018,CBS,82,0.0,0.824,0.176
0.5093,Tue Jun 05 19:00:02 +0000 2018,CBS,83,0.0,0.845,0.155
0.0,Tue Jun 05 15:04:41 +0000 2018,CBS,84,0.0,1.0,0.0
0.0,Mon Jun 04 17:00:00 +0000 2018,CBS,85,0.0,1.0,0.0
-0.3903,Fri Jun 01 17:39:17 +0000 2018,CBS,86,0.131,0.807,0.062
0.8442,Fri Jun 01 17:00:03 +0000 2018,CBS,87,0.0,0.664,0.336
0.8932,Thu May 31 23:50:00 +0000 2018,CBS,88,0.0,0.545,0.455
0.4926,Wed May 30 15:07:34 +0000 2018,CBS,89,0.0,0.849,0.151
0.0,Mon May 28 21:00:01 +0000 2018,CBS,90,0.0,1.0,0.0
0.0,Mon May 28 02:08:19 +0000 2018,CBS,91,0.0,1.0,0.0
0.6239,Wed May 23 23:07:38 +0000 2018,CBS,92,0.0,0.797,0.203
0.5859,Wed May 23 19:02:43 +0000 2018,CBS,93,0.0,0.826,0.174
